,single_q,double_q,dashes,braces,spaces,badwords,class,Cluster
121,1.0,0.0,1.0,1.0,0.0,2.0,bad,Cluster 1
122,,,,,,,,Cluster 0
123,2.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
124,,,,,,,,Cluster 0
125,1.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
126,,,,,,,,Cluster 0
127,3.0,0.0,1.0,0.0,0.0,3.0,bad,Cluster 1
128,,,,,,,,Cluster 0
129,2.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
130,,,,,,,,Cluster 0
131,2.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
132,,,,,,,,Cluster 0
133,1.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
134,,,,,,,,Cluster 0
135,1.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
136,,,,,,,,Cluster 0
137,1.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
138,,,,,,,,Cluster 0
139,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
140,,,,,,,,Cluster 0
141,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
142,,,,,,,,Cluster 0
143,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
144,,,,,,,,Cluster 0
145,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
146,,,,,,,,Cluster 0
147,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
148,,,,,,,,Cluster 0
149,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
150,,,,,,,,Cluster 0
151,5.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 3
152,,,,,,,,Cluster 0
153,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
154,,,,,,,,Cluster 0
155,1.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 2
156,,,,,,,,Cluster 0
157,1.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
158,,,,,,,,Cluster 0
159,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
160,,,,,,,,Cluster 0
161,1.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
162,,,,,,,,Cluster 0
163,2.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
164,,,,,,,,Cluster 0
165,1.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
166,,,,,,,,Cluster 0
167,1.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
168,,,,,,,,Cluster 0
169,1.0,0.0,1.0,1.0,0.0,2.0,bad,Cluster 1
170,,,,,,,,Cluster 0
171,1.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
172,,,,,,,,Cluster 0
173,2.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
174,,,,,,,,Cluster 0
175,1.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
176,,,,,,,,Cluster 0
177,2.0,0.0,0.0,0.0,0.0,2.0,bad,Cluster 3
178,,,,,,,,Cluster 0
179,2.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
180,,,,,,,,Cluster 0
181,2.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
182,,,,,,,,Cluster 0
183,2.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
184,,,,,,,,Cluster 0
185,2.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
186,,,,,,,,Cluster 0
187,2.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
188,,,,,,,,Cluster 0
189,6.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
190,,,,,,,,Cluster 0
191,0.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 2
192,,,,,,,,Cluster 0
193,0.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
194,,,,,,,,Cluster 0
195,3.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 3
196,,,,,,,,Cluster 0
197,2.0,0.0,1.0,0.0,0.0,3.0,bad,Cluster 1
198,,,,,,,,Cluster 0
199,0.0,0.0,0.0,2.0,0.0,1.0,bad,Cluster 2
200,,,,,,,,Cluster 0
201,0.0,0.0,1.0,1.0,0.0,2.0,bad,Cluster 1
202,,,,,,,,Cluster 0
203,1.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
204,,,,,,,,Cluster 0
205,2.0,0.0,1.0,0.0,0.0,3.0,bad,Cluster 1
206,,,,,,,,Cluster 0
207,2.0,0.0,1.0,0.0,0.0,3.0,bad,Cluster 1
208,,,,,,,,Cluster 0
209,3.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 3
210,,,,,,,,Cluster 0
211,0.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 2
212,,,,,,,,Cluster 0
213,0.0,0.0,0.0,2.0,0.0,1.0,bad,Cluster 2
214,,,,,,,,Cluster 0
215,0.0,0.0,1.0,1.0,0.0,2.0,bad,Cluster 1
